Gene,Description,padj_maSigPro,clusters_maSigPro,Fold_change_h_vs_c,padj_h_vs_c,Fold_change_p_vs_c,padj_p_vs_c,Fold_change_a_vs_c,padj_a_vs_c,Fold_change_r_vs_c,padj_r_vs_c,Fold_change_a_vs_r,padj_a_vs_r,Fold_change_h_vs_a,padj_h_vs_a
TCAL_00461,Protein of unknown function,5.22E-28,9,NA,NA,NA,NA,NA,NA,-3.56632125,3.29E-41,-4.132132165,2.76E-55,NA,NA
TCAL_00464,Protein of unknown function,1.09E-09,2,0.297183186,0.073057282,0.420546741,0.000381157,0.541434565,3.27E-07,0.310950357,0.016733371,NA,NA,NA,NA
TCAL_00483,Similar to CDC73 Parafibromin (Gallus gallus),3.08E-05,2,NA,NA,NA,NA,0.236665866,0.073656772,NA,NA,-0.295953731,0.016330384,NA,NA
TCAL_00497,Similar to PFDN5 Prefoldin subunit 5 (Homo sapiens),0.001694194,4,NA,NA,NA,NA,-0.159684274,0.046275226,NA,NA,NA,NA,NA,NA
TCAL_00509,Similar to ZSWIM5 Zinc finger SWIM domain-containing protein 5 (Homo sapiens),0.001198799,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.912980323,0.05039853
TCAL_00524,Similar to KANSL1 KAT8 regulatory NSL complex subunit 1 (Homo sapiens),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24863715,0.062673785,NA,NA
TCAL_00548,"Similar to Grik3 Glutamate receptor ionotropic, kainate 3 (Rattus norvegicus)",0.000149408,6,NA,NA,-0.301712623,0.048103572,-0.300322939,0.03177181,NA,NA,NA,NA,NA,NA
TCAL_00555,Similar to Pgk Phosphoglycerate kinase (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.141229243,0.076886092,NA,NA
TCAL_00556,Protein of unknown function,2.93E-05,6,NA,NA,-0.300077781,0.008767096,NA,NA,-0.331635646,0.001392598,NA,NA,NA,NA
TCAL_00560,"Similar to hibch 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (Xenopus tropicalis)",2.93E-06,8,NA,NA,NA,NA,NA,NA,-0.200998859,0.015905401,NA,NA,NA,NA
TCAL_00581,Similar to Prpf6 Pre-mRNA-processing factor 6 (Mus musculus),0.001051576,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00591,Protein of unknown function,7.26E-05,1,NA,NA,NA,NA,NA,NA,0.596487596,0.016058267,NA,NA,NA,NA
TCAL_00600,Similar to Sp7 Serine protease 7 (Drosophila melanogaster),0.000172239,9,NA,NA,NA,NA,NA,NA,-0.433306213,0.015828078,NA,NA,NA,NA
TCAL_00601,Similar to aff-1 Cell fusion protein aff-1 (Caenorhabditis elegans),NA,NA,NA,NA,NA,NA,-0.603153266,0.098996348,NA,NA,NA,NA,NA,NA
TCAL_00615,Similar to wls Protein wntless (Drosophila yakuba),0.000355456,7,NA,NA,NA,NA,NA,NA,1.02150106,0.009235889,NA,NA,NA,NA
TCAL_00617,Similar to nt5c2 Cytosolic purine 5'-nucleotidase (Xenopus laevis),NA,NA,NA,NA,NA,NA,0.26037166,0.028226329,NA,NA,NA,NA,NA,NA
TCAL_00623,Similar to KLHL17 Kelch-like protein 17 (Homo sapiens),0.00026016,4,NA,NA,NA,NA,NA,NA,NA,NA,0.59594805,0.054249484,NA,NA
